numeroProcesso;classeJudicial;dataChegada;nomeTarefa;descricaoUltimoMovimento;tagsProcessoList;assuntoPrincipal;ultimoMovimento
8000173-98.2023.8.05.0216;ProceComCiv;17/07/2024, 15:29:05; Documentos não lidos - ANALISAR;Conclusos para despacho;digito 80-99;Anulação;14/08/2024, 10:01:10
8000475-93.2024.8.05.0216;MSCiv;19/07/2024, 10:58:33; Documentos não lidos - ANALISAR;Decorrido prazo de MUNICÍPIO RIO REAL/BA em 12/08/2024 23:59.;digito 80-99;Dirigente Sindical;13/08/2024, 03:26:37
8000332-12.2021.8.05.0216;ExTiEx;22/07/2024, 23:57:36; Documentos não lidos - ANALISAR;Juntada de Petição de petição;Cartório_Dúvida, Cássio de Souza Silva, digito 00-19;Cheque;23/07/2024, 18:21:55
8000402-05.2016.8.05.0216;ExTiEx;24/07/2024, 14:16:05; Documentos não lidos - ANALISAR;Decorrido prazo de CLEIDIVALDO BATISTA DOS SANTOS em 21/02/2024 23:59.;digito 00-19;Busca e Apreensão;23/02/2024, 04:43:05
8000558-17.2021.8.05.0216;CumSen;29/07/2024, 10:13:01; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Alimentos;22/08/2024, 09:37:36
0000165-15.2013.8.05.0216;Monito;29/07/2024, 11:48:33; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Nota de Crédito Comercial;29/07/2024, 11:48:33
8001374-91.2024.8.05.0216;ExeAliIJ;29/07/2024, 19:25:20; Documentos não lidos - ANALISAR;Decorrido prazo de KELLY DOS SANTOS DE MATOS em 07/08/2024 23:59.;digito 80-99;Fixação;14/08/2024, 04:10:48
0001463-08.2014.8.05.0216;ProceComCiv;31/07/2024, 14:23:29; Documentos não lidos - ANALISAR;Decorrido prazo de HSBC BANK BRASIL S.A. - BANCO MULTIPLO em 02/08/2024 23:59.;digito 00-19;Indenização por Dano Moral;18/08/2024, 17:56:37
0000030-08.2010.8.05.0216;BusApr;01/08/2024, 23:30:35; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19;Contratos Bancários;01/08/2024, 23:30:35
8001920-83.2023.8.05.0216;PJEC;02/08/2024, 18:47:17; Documentos não lidos - ANALISAR;Juntada de Petição de petição; INCLUI  em pauta de audiência UNA de CONCILIAÇÃO e INSTRUÇÃO., digito 80-99, Juízo 100% digital;Extravio de bagagem;02/08/2024, 18:47:17
8000370-92.2019.8.05.0216;ExeAli;04/08/2024, 12:02:13; Documentos não lidos - ANALISAR;Juntada de Petição de CIÊNCIA DE DECISÃO;digito 80-99, Prisão Cível;Liquidação / Cumprimento / Execução;04/08/2024, 12:02:12
8001453-07.2023.8.05.0216;BAAF;05/08/2024, 09:47:33; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 00-19, Juízo 100% digital;Alienação Fiduciária;05/08/2024, 09:47:20
8001075-85.2022.8.05.0216;ProceComCiv;06/08/2024, 14:01:47; Documentos não lidos - ANALISAR;Juntada de Petição de petição;digito 80-99;Indenização por Dano Moral;06/08/2024, 14:01:46
